dataset,model,rate_hz,activity,folds,mean,std,min,max
rwhar,deepconvlstm,25,loso_sbj_13,1,0.7347742802540995,,0.7347742802540995,0.7347742802540995
rwhar,deepconvlstm,25,loso_sbj_14,1,0.7180914338632368,,0.7180914338632368,0.7180914338632368
rwhar,deepconvlstm,25,loso_sbj_2,1,0.40786187458306083,,0.40786187458306083,0.40786187458306083
rwhar,deepconvlstm,25,loso_sbj_3,1,0.7877279457857358,,0.7877279457857358,0.7877279457857358
rwhar,deepconvlstm,25,loso_sbj_4,1,0.824721776791163,,0.824721776791163,0.824721776791163
rwhar,deepconvlstm,25,loso_sbj_5,1,0.8240532957073745,,0.8240532957073745,0.8240532957073745
rwhar,deepconvlstm,25,loso_sbj_6,1,0.8132639642469696,,0.8132639642469696,0.8132639642469696
rwhar,deepconvlstm,25,loso_sbj_7,1,0.6061914501999033,,0.6061914501999033,0.6061914501999033
rwhar,deepconvlstm,25,loso_sbj_8,1,0.8798669790903766,,0.8798669790903766,0.8798669790903766
rwhar,deepconvlstm,25,loso_sbj_9,1,0.8637345544446121,,0.8637345544446121,0.8637345544446121
rwhar,deepconvlstm,50,0,15,0.7266962019338621,0.23998899498995513,0.0,0.9394509213990222
rwhar,deepconvlstm,50,1,15,0.7988079877131768,0.25448465708756723,0.0,0.979806138933764
rwhar,deepconvlstm,50,2,15,0.699888673791527,0.2775197705266617,0.0016168148746968,0.9904
rwhar,deepconvlstm,50,3,15,0.6408300753508935,0.26532589670655576,0.0015576323987538,0.9269619269619268
rwhar,deepconvlstm,50,4,15,0.9735764902832572,0.03567797095490627,0.8460270359380152,0.9914807302231238
rwhar,deepconvlstm,50,5,15,0.8462471777162237,0.1691463396177648,0.4344746162927981,0.9803921568627452
rwhar,deepconvlstm,50,6,15,0.7216837063829935,0.22990058189797413,0.1202296521445457,0.9168207024029574
rwhar,deepconvlstm,50,7,15,0.6842901368898969,0.23880773429579838,0.0,0.8756864702945582
rwhar,deepconvlstm,50,loso_sbj_0,1,0.711712568671627,,0.711712568671627,0.711712568671627
rwhar,deepconvlstm,50,loso_sbj_1,1,0.6403381667024588,,0.6403381667024588,0.6403381667024588
rwhar,deepconvlstm,50,loso_sbj_10,1,0.8724820612720017,,0.8724820612720017,0.8724820612720017
rwhar,deepconvlstm,50,loso_sbj_11,1,0.9206564223096249,,0.9206564223096249,0.9206564223096249
rwhar,deepconvlstm,50,loso_sbj_12,1,0.8111880691127363,,0.8111880691127363,0.8111880691127363
rwhar,deepconvlstm,50,loso_sbj_13,1,0.7745219384100648,,0.7745219384100648,0.7745219384100648
rwhar,deepconvlstm,50,loso_sbj_14,1,0.6904952463959746,,0.6904952463959746,0.6904952463959746
rwhar,deepconvlstm,50,loso_sbj_2,1,0.40843964604405625,,0.40843964604405625,0.40843964604405625
rwhar,deepconvlstm,50,loso_sbj_3,1,0.7616209987685775,,0.7616209987685775,0.7616209987685775
rwhar,deepconvlstm,50,loso_sbj_4,1,0.8329680264889315,,0.8329680264889315,0.8329680264889315
rwhar,deepconvlstm,50,loso_sbj_5,1,0.8041057796454071,,0.8041057796454071,0.8041057796454071
rwhar,deepconvlstm,50,loso_sbj_6,1,0.7964952969644931,,0.7964952969644931,0.7964952969644931
rwhar,deepconvlstm,50,loso_sbj_7,1,0.6394810538718954,,0.6394810538718954,0.6394810538718954
rwhar,deepconvlstm,50,loso_sbj_8,1,0.8857294877790448,,0.8857294877790448,0.8857294877790448
rwhar,deepconvlstm,50,loso_sbj_9,1,0.8723035814290392,,0.8723035814290392,0.8723035814290392
rwhar,pure_cnn,6,0,15,0.4406389081703747,0.18738802146659952,0.0,0.7383918459796149
rwhar,pure_cnn,6,1,15,0.6153229912325135,0.19635829192687887,0.1036513545347467,0.8687012065294535
rwhar,pure_cnn,6,2,15,0.7282944955654581,0.33256235718900024,0.0,0.9888761028001536
rwhar,pure_cnn,6,3,15,0.6088466568544567,0.2803140745332323,0.0,0.9321100917431192
rwhar,pure_cnn,6,4,15,0.9504703641851516,0.0964427022604287,0.6087393269713711,0.991819244253993
rwhar,pure_cnn,6,5,15,0.4369569130875502,0.15873702915873394,0.066961815163254,0.6827794561933535
rwhar,pure_cnn,6,6,15,0.59037099478304,0.24131803780489827,0.0,0.8283548818546589
