activity,f1,rate,split,csv_path
bench-dips,0.918485,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
burpees,0.828932,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
jogging,0.842178,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
jogging (butt-kicks),0.684547,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
jogging (rotating arms),0.575668,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
jogging (sidesteps),0.912134,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
jogging (skipping),0.761180,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
lunges,0.476534,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
lunges (complex),0.739521,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
push-ups,0.556439,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
push-ups (complex),0.664303,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
sit-ups,0.768586,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
sit-ups (complex),0.730198,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
stretching (hamstrings),0.600000,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
stretching (lumbar rotation),0.831143,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
stretching (lunging),0.921466,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
stretching (shoulders),0.775641,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
stretching (triceps),0.833517,25,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_25hz.csv
null,0.734914,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
bench-dips,0.928074,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
burpees,0.800000,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging,0.869318,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (butt-kicks),0.858757,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (rotating arms),0.655782,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (sidesteps),0.927597,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (skipping),0.861467,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
lunges,0.449102,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
lunges (complex),0.780723,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
push-ups,0.592460,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
push-ups (complex),0.674948,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
sit-ups,0.693603,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
sit-ups (complex),0.683685,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (hamstrings),0.657343,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (lumbar rotation),0.893013,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (lunging),0.936675,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (shoulders),0.725352,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (triceps),0.822894,50,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
null,0.735986,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
bench-dips,0.762821,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
burpees,0.522678,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
jogging,0.462222,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
jogging (butt-kicks),0.776204,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
jogging (rotating arms),0.484412,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
jogging (sidesteps),0.764368,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
jogging (skipping),0.629213,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
lunges,0.632653,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
lunges (complex),0.795229,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
push-ups,0.707317,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
push-ups (complex),0.830935,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
sit-ups,0.725869,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
sit-ups (complex),0.682707,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
stretching (hamstrings),0.858561,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
stretching (lumbar rotation),0.960630,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
stretching (lunging),0.844125,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
stretching (shoulders),0.778420,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
stretching (triceps),0.890869,6,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_6hz.csv
null,0.729480,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
bench-dips,0.769231,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
burpees,0.553846,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
jogging,0.517241,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
jogging (butt-kicks),0.795640,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
jogging (rotating arms),0.561404,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
jogging (sidesteps),0.737401,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
jogging (skipping),0.706697,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
lunges,0.777778,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
lunges (complex),0.847599,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
push-ups,0.653061,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
push-ups (complex),0.873684,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
sit-ups,0.704453,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
sit-ups (complex),0.684685,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
stretching (hamstrings),0.829384,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
stretching (lumbar rotation),0.957198,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
stretching (lunging),0.830097,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
stretching (shoulders),0.722719,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
stretching (triceps),0.897494,12,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_12hz.csv
null,0.741013,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
bench-dips,0.806154,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
burpees,0.627078,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
jogging,0.484305,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
jogging (butt-kicks),0.806452,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
jogging (rotating arms),0.584211,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
jogging (sidesteps),0.767956,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
jogging (skipping),0.705336,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
lunges,0.815490,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
lunges (complex),0.834356,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
push-ups,0.718266,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
push-ups (complex),0.872910,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
sit-ups,0.705394,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
sit-ups (complex),0.676558,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
stretching (hamstrings),0.845966,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
stretching (lumbar rotation),0.957198,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
stretching (lunging),0.828916,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
stretching (shoulders),0.712381,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
stretching (triceps),0.880000,25,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1_25hz.csv
null,0.751897,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
bench-dips,0.814607,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
burpees,0.561644,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging,0.730627,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (butt-kicks),0.790698,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (rotating arms),0.589831,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (sidesteps),0.764179,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (skipping),0.662192,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
lunges,0.737557,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
lunges (complex),0.797619,50,loso_sbj_1,logs/deepconvlstm/50hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
