model,rate_hz,split,activity,f1,source
pure_cnn,12,loso_sbj_11,lying,0.9856087125632048,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
pure_cnn,12,loso_sbj_11,jumping,0.955665024630542,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
pure_cnn,12,loso_sbj_11,climbingup,0.8537398761314912,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
pure_cnn,12,loso_sbj_11,climbingdown,0.8216880939072108,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
pure_cnn,12,loso_sbj_12,walking,0.7594433399602386,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_12,running,0.9778468713563934,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_12,sitting,0.0947802197802197,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_12,standing,0.6479736098020735,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_12,lying,0.9693721286370596,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_12,jumping,0.951276102088167,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_12,climbingup,0.744578313253012,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_12,climbingdown,0.6702557200538358,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_12/per_class_metrics_loso_sbj_12.csv
pure_cnn,12,loso_sbj_13,walking,0.6057091882247992,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_13,running,0.9607390300230948,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_13,sitting,0.0030280090840272,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_13,standing,0.6058032554847842,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_13,lying,0.9821981424148608,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_13,jumping,0.4498834498834498,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_13,climbingup,0.8550428746427113,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_13,climbingdown,0.5227777777777778,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
pure_cnn,12,loso_sbj_14,walking,0.2893700787401574,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
pure_cnn,12,loso_sbj_14,running,0.897025171624714,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
