rate_hz,split,file,f1,acc,precision,recall
12,loso_sbj_9,logs/deepconvlstm/standard_cnn_nolstm/12hz/loso_sbj_9/best_macro_metrics_loso_sbj_9.csv,0.3321886321605652,0.4220371519824866,0.5083397607520844,0.5083397607520844
25,loso_sbj_0,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_0/best_macro_metrics_loso_sbj_0.csv,0.7283211043557719,0.7711365945202051,0.7328497305706204,0.7328497305706204
25,loso_sbj_1,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_1/best_macro_metrics_loso_sbj_1.csv,0.7009680485065579,0.7580351793084427,0.6844837305755156,0.6844837305755156
25,loso_sbj_10,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_10/best_macro_metrics_loso_sbj_10.csv,0.6062164016425121,0.7769486576788536,0.5501136668402701,0.5501136668402701
25,loso_sbj_11,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_11/best_macro_metrics_loso_sbj_11.csv,0.8503968310357195,0.8886049557190089,0.8281877769977151,0.8281877769977151
25,loso_sbj_12,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_12/best_macro_metrics_loso_sbj_12.csv,0.7529305278863498,0.8715663719378698,0.7011116878124785,0.7011116878124785
25,loso_sbj_13,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_13/best_macro_metrics_loso_sbj_13.csv,0.7473748838316853,0.8892479410838275,0.6781119734828297,0.6781119734828297
25,loso_sbj_14,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_14/best_macro_metrics_loso_sbj_14.csv,0.6690527012504913,0.794080163130865,0.6281750872625366,0.6281750872625366
25,loso_sbj_15,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_15/best_macro_metrics_loso_sbj_15.csv,0.6883309483825432,0.7690436486094147,0.6565477827569549,0.6565477827569549
25,loso_sbj_16,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_16/best_macro_metrics_loso_sbj_16.csv,0.7377340129903509,0.8962831992994557,0.678674376778997,0.678674376778997
25,loso_sbj_17,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_17/best_macro_metrics_loso_sbj_17.csv,0.7447740481630983,0.8843757397528623,0.7089392602672788,0.7089392602672788
25,loso_sbj_18,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_18/best_macro_metrics_loso_sbj_18.csv,0.63925258987126,0.7546049422757112,0.6076946842317786,0.6076946842317786
25,loso_sbj_19,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_19/best_macro_metrics_loso_sbj_19.csv,0.8570779571996758,0.9127952194637288,0.8292924525104904,0.8292924525104904
25,loso_sbj_2,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_2/best_macro_metrics_loso_sbj_2.csv,0.5655034847631929,0.6619692208987523,0.6306925594316498,0.6306925594316498
25,loso_sbj_20,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_20/best_macro_metrics_loso_sbj_20.csv,0.832091838789546,0.854103844226841,0.8583475703028712,0.8583475703028712
25,loso_sbj_21,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_21/best_macro_metrics_loso_sbj_21.csv,0.7704210478620152,0.8781846451922517,0.7202825346217834,0.7202825346217834
25,loso_sbj_3,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_3/best_macro_metrics_loso_sbj_3.csv,0.6846973890944509,0.8110666765817014,0.6398809546201791,0.6398809546201791
25,loso_sbj_4,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_4/best_macro_metrics_loso_sbj_4.csv,0.6782311392677688,0.7171357050457173,0.6555629689689494,0.6555629689689494
25,loso_sbj_5,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_5/best_macro_metrics_loso_sbj_5.csv,0.5266576788565613,0.5657774328242661,0.5533156973370488,0.5533156973370488
25,loso_sbj_6,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_6/best_macro_metrics_loso_sbj_6.csv,0.8225722484358807,0.8905378206466183,0.7888965344138213,0.7888965344138213
25,loso_sbj_7,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_7/best_macro_metrics_loso_sbj_7.csv,0.7132540025818208,0.8057376539413299,0.6844505210840556,0.6844505210840556
25,loso_sbj_8,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_8/best_macro_metrics_loso_sbj_8.csv,0.7901342316923398,0.8737348093588174,0.7506395131441116,0.7506395131441116
25,loso_sbj_9,logs/deepconvlstm/standard_cnn_nolstm/25hz/loso_sbj_9/best_macro_metrics_loso_sbj_9.csv,0.3816527475892275,0.46958571004032523,0.5297007145602093,0.5297007145602093
50,loso_sbj_0,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_0/best_macro_metrics_loso_sbj_0.csv,0.7483084932839206,0.7870662188258286,0.7519950000626499,0.7519950000626499
50,loso_sbj_1,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_1/best_macro_metrics_loso_sbj_1.csv,0.6918639703063286,0.7444923389450395,0.6723816109373906,0.6723816109373906
50,loso_sbj_10,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_10/best_macro_metrics_loso_sbj_10.csv,0.5389554210046501,0.7366055785188138,0.4721444714525673,0.4721444714525673
50,loso_sbj_11,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_11/best_macro_metrics_loso_sbj_11.csv,0.8088940699665621,0.8560007497926204,0.7868068536641615,0.7868068536641615
50,loso_sbj_12,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_12/best_macro_metrics_loso_sbj_12.csv,0.7471772849069154,0.8690719626250902,0.691824608649593,0.691824608649593
50,loso_sbj_13,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_13/best_macro_metrics_loso_sbj_13.csv,0.7360881980645236,0.8781024486963552,0.6612455634630656,0.6612455634630656
50,loso_sbj_14,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_14/best_macro_metrics_loso_sbj_14.csv,0.6523604207009887,0.7825388077572708,0.6107103761756568,0.6107103761756568
50,loso_sbj_15,logs/deepconvlstm/standard_cnn_nolstm/50hz/loso_sbj_15/best_macro_metrics_loso_sbj_15.csv,0.6880943903617617,0.7689771215510598,0.6514414962540475,0.6514414962540475
