activity,6,12,25,50,opt_rate_lower_bound
bench-dips,0.6523667290285181,0.6496269283481256,0.6603199353863352,0.6496444348473079,6
burpees,0.5534655904570673,0.5698412663556549,0.6282058248221655,0.5903816159319889,25
jogging,0.8042822579271264,0.8379427341145363,0.8882806096089848,0.8660852760721478,25
jogging (butt-kicks),0.7349734697853957,0.8106569090986127,0.8420177633845115,0.8309965012783742,25
jogging (rotating arms),0.6663334723944354,0.7369206778503887,0.7954808047209879,0.7856219214527744,25
jogging (sidesteps),0.8321108784917374,0.8777335863250819,0.8986198384287376,0.8907984992948399,25
jogging (skipping),0.7474564397950648,0.8343472744708685,0.88950938383292,0.8740506551290479,25
lunges,0.4389446357542787,0.45087589498466146,0.5176739308392513,0.4885648080280856,25
lunges (complex),0.5878440034427551,0.5968733764592454,0.5935420249123401,0.6031870706808831,6
nan,0.46717270925904636,0.49524305106423727,0.5389163838371801,0.5286677827117119,25
push-ups,0.5823539546149836,0.6111409231620925,0.6230111351702354,0.5997518830647913,12
push-ups (complex),0.5959052373639566,0.6190840848593996,0.6406893949972048,0.6055465045275518,25
sit-ups,0.6253060552416201,0.6244228369228327,0.6363382617238634,0.6381907399531868,6
sit-ups (complex),0.6795903049572573,0.6638876695876655,0.6831573808237595,0.6711224486847276,6
stretching (hamstrings),0.7013861868527834,0.6947300740776767,0.700027618439486,0.7071530909712593,6
stretching (lumbar rotation),0.884319825659933,0.8981440016497242,0.9056129231353073,0.8972149821430928,12
stretching (lunging),0.5941317666817523,0.6158657701594069,0.6472740858359508,0.6544368592628877,25
stretching (shoulders),0.5200301095942582,0.516542105270764,0.5407860638353834,0.5255584317963874,25
stretching (triceps),0.7571194057909459,0.7518856074142576,0.7462307915802847,0.7480005388331836,6
