rate_hz,split,activity,f1,file
6,loso_sbj_1,stretching (hamstrings),0.8471177944862155,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
6,loso_sbj_1,stretching (lumbar rotation),0.976,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
6,loso_sbj_1,stretching (lunging),0.6313725490196078,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
6,loso_sbj_1,stretching (shoulders),0.7119341563786008,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
6,loso_sbj_1,stretching (triceps),0.7626459143968871,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
6,loso_sbj_10,nan,0.4733767317643131,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,bench-dips,0.389920424403183,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,burpees,0.3333333333333333,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,jogging,0.80083857442348,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,jogging (butt-kicks),0.6254826254826255,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,jogging (rotating arms),0.6260869565217392,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,jogging (sidesteps),0.6406779661016949,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,jogging (skipping),0.8609271523178808,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,lunges,0.6831275720164609,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,lunges (complex),0.4016282225237449,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,push-ups,0.4987080103359173,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,push-ups (complex),0.4082687338501292,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,sit-ups,0.7190569744597249,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,sit-ups (complex),0.5703839122486288,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,stretching (hamstrings),0.4703087885985748,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,stretching (lumbar rotation),0.5996860282574569,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,stretching (lunging),0.6780626780626781,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,stretching (shoulders),0.0,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_10,stretching (triceps),0.827930174563591,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
6,loso_sbj_11,nan,0.5806451612903226,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,bench-dips,0.8747044917257684,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,burpees,0.7313432835820896,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,jogging,0.912087912087912,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,jogging (butt-kicks),0.9197860962566844,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,jogging (rotating arms),0.8414096916299559,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,jogging (sidesteps),0.9448123620309052,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,jogging (skipping),0.879746835443038,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,lunges,0.3379310344827586,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,lunges (complex),0.8478802992518704,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,push-ups,0.6242774566473989,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,push-ups (complex),0.6962962962962963,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,sit-ups,0.9476439790575916,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,sit-ups (complex),0.9111111111111112,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,stretching (hamstrings),0.9642857142857144,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,stretching (lumbar rotation),0.9853658536585366,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
6,loso_sbj_11,stretching (lunging),0.7818181818181819,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/per_class_metrics_loso_sbj_11.csv
