dataset,model,rate_hz,split,best_f1,finished,log_file
rwhar,deepconvlstm,25,loso_sbj_8,0.8798999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_25hz_11863942_8.out
rwhar,deepconvlstm,25,loso_sbj_9,0.8637,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_25hz_11863942_9.out
rwhar,deepconvlstm,50,loso_sbj_0,0.7117,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_0.out
rwhar,deepconvlstm,50,loso_sbj_1,0.6403,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_1.out
rwhar,deepconvlstm,50,loso_sbj_10,0.8725,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_10.out
rwhar,deepconvlstm,50,loso_sbj_11,0.9207,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_11.out
rwhar,deepconvlstm,50,loso_sbj_12,0.8112,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_12.out
rwhar,deepconvlstm,50,loso_sbj_13,0.7745000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_13.out
rwhar,deepconvlstm,50,loso_sbj_14,0.6905,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_14.out
rwhar,deepconvlstm,50,loso_sbj_2,0.40840000000000004,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_2.out
rwhar,deepconvlstm,50,loso_sbj_3,0.7615999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_3.out
rwhar,deepconvlstm,50,loso_sbj_4,0.833,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_4.out
rwhar,deepconvlstm,50,loso_sbj_5,0.8040999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_5.out
rwhar,deepconvlstm,50,loso_sbj_6,0.7965000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_6.out
rwhar,deepconvlstm,50,loso_sbj_7,0.6395000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_7.out
rwhar,deepconvlstm,50,loso_sbj_8,0.8856999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_8.out
rwhar,deepconvlstm,50,loso_sbj_9,0.8723000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_50hz_11863929_9.out
rwhar,pure_cnn,6,loso_sbj_0,0.48479999999999995,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_0.out
rwhar,pure_cnn,6,loso_sbj_1,0.5353,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_1.out
rwhar,pure_cnn,6,loso_sbj_10,0.7441,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_10.out
rwhar,pure_cnn,6,loso_sbj_11,0.7867000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_11.out
rwhar,pure_cnn,6,loso_sbj_12,0.5774,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_12.out
rwhar,pure_cnn,6,loso_sbj_13,0.5045000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_13.out
rwhar,pure_cnn,6,loso_sbj_14,0.5440999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_14.out
rwhar,pure_cnn,6,loso_sbj_2,0.3139,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_2.out
rwhar,pure_cnn,6,loso_sbj_3,0.6459999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_3.out
rwhar,pure_cnn,6,loso_sbj_4,0.6603,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_4.out
rwhar,pure_cnn,6,loso_sbj_5,0.6252,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_5.out
rwhar,pure_cnn,6,loso_sbj_6,0.6835,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_6.out
rwhar,pure_cnn,6,loso_sbj_7,0.4443,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_7.out
rwhar,pure_cnn,6,loso_sbj_8,0.7572,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_8.out
rwhar,pure_cnn,6,loso_sbj_9,0.7338,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_6hz_11863948_9.out
rwhar,pure_cnn,12,loso_sbj_0,0.664,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_0.out
rwhar,pure_cnn,12,loso_sbj_1,0.6307,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_1.out
rwhar,pure_cnn,12,loso_sbj_10,0.8765999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_10.out
rwhar,pure_cnn,12,loso_sbj_11,0.9181999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_11.out
rwhar,pure_cnn,12,loso_sbj_12,0.7269,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_12.out
rwhar,pure_cnn,12,loso_sbj_13,0.6231,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_13.out
rwhar,pure_cnn,12,loso_sbj_14,0.7524,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_14.out
rwhar,pure_cnn,12,loso_sbj_2,0.3414,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_2.out
rwhar,pure_cnn,12,loso_sbj_3,0.7811,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_3.out
rwhar,pure_cnn,12,loso_sbj_4,0.8092,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_4.out
rwhar,pure_cnn,12,loso_sbj_5,0.7131000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_5.out
rwhar,pure_cnn,12,loso_sbj_6,0.8314,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_6.out
rwhar,pure_cnn,12,loso_sbj_7,0.6709999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_7.out
rwhar,pure_cnn,12,loso_sbj_8,0.8563,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_8.out
rwhar,pure_cnn,12,loso_sbj_9,0.8303,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_12hz_11863947_9.out
rwhar,pure_cnn,25,loso_sbj_0,0.6601,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_0.out
rwhar,pure_cnn,25,loso_sbj_1,0.6514,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_1.out
rwhar,pure_cnn,25,loso_sbj_10,0.9006000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_10.out
rwhar,pure_cnn,25,loso_sbj_11,0.9251999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_11.out
rwhar,pure_cnn,25,loso_sbj_12,0.7423000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_12.out
rwhar,pure_cnn,25,loso_sbj_13,0.6869,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_13.out
rwhar,pure_cnn,25,loso_sbj_14,0.7548,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_14.out
rwhar,pure_cnn,25,loso_sbj_2,0.32420000000000004,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_2.out
rwhar,pure_cnn,25,loso_sbj_3,0.7974,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_3.out
rwhar,pure_cnn,25,loso_sbj_4,0.8237000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_4.out
rwhar,pure_cnn,25,loso_sbj_5,0.7539,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_5.out
rwhar,pure_cnn,25,loso_sbj_6,0.8461,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_6.out
rwhar,pure_cnn,25,loso_sbj_7,0.6689,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_7.out
rwhar,pure_cnn,25,loso_sbj_8,0.8781,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_8.out
rwhar,pure_cnn,25,loso_sbj_9,0.8184,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_25hz_11863946_9.out
rwhar,pure_cnn,50,loso_sbj_0,0.7212999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_0.out
rwhar,pure_cnn,50,loso_sbj_1,0.6371,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_1.out
rwhar,pure_cnn,50,loso_sbj_10,0.8998999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_10.out
rwhar,pure_cnn,50,loso_sbj_11,0.9256,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_11.out
rwhar,pure_cnn,50,loso_sbj_12,0.7555,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_12.out
rwhar,pure_cnn,50,loso_sbj_13,0.6805,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_13.out
rwhar,pure_cnn,50,loso_sbj_14,0.7687,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_14.out
rwhar,pure_cnn,50,loso_sbj_2,0.34700000000000003,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_2.out
rwhar,pure_cnn,50,loso_sbj_3,0.7967,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_3.out
rwhar,pure_cnn,50,loso_sbj_4,0.8312999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_4.out
rwhar,pure_cnn,50,loso_sbj_5,0.747,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_5.out
rwhar,pure_cnn,50,loso_sbj_6,0.8451000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_6.out
rwhar,pure_cnn,50,loso_sbj_7,0.6799,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_7.out
rwhar,pure_cnn,50,loso_sbj_8,0.8775,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_8.out
rwhar,pure_cnn,50,loso_sbj_9,0.833,True,slurm_logs/lstm_vs_cnn_rwhar_pure_cnn_50hz_11863945_9.out
