dataset,model,rate_hz,folds,finished,mean,std,min,max,missing_f1
rwhar,deepconvlstm,50,15,15,0.7615,0.13036572731029752,0.40840000000000004,0.9207,0
rwhar,deepconvlstm,25,15,15,0.76084,0.12918416422191337,0.4079,0.9089,0
rwhar,deepconvlstm,12,15,15,0.7505866666666666,0.12960139916940197,0.3871,0.9136,0
rwhar,deepconvlstm,6,15,15,0.7029,0.14507889971617907,0.3456,0.895,0
rwhar,pure_cnn,50,15,15,0.7564066666666667,0.14136624908708717,0.34700000000000003,0.9256,0
rwhar,pure_cnn,25,15,15,0.7487999999999999,0.1466583980353178,0.32420000000000004,0.9251999999999999,0
rwhar,pure_cnn,12,15,15,0.7350466666666667,0.1420860899327621,0.3414,0.9181999999999999,0
rwhar,pure_cnn,6,15,15,0.60274,0.13303903723558522,0.3139,0.7867000000000001,0
