activity,f1,rate,split,csv_path
stretching (triceps),0.787776,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
null,0.087804,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
bench-dips,0.903969,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
burpees,0.582789,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging,0.742945,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (butt-kicks),0.788686,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (rotating arms),0.000000,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (sidesteps),0.859506,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (skipping),0.455044,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
lunges,0.212006,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
lunges (complex),0.762868,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
push-ups,0.000000,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
push-ups (complex),0.616531,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
sit-ups,0.612731,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
sit-ups (complex),0.819798,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (hamstrings),0.636265,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (lumbar rotation),0.985489,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (lunging),0.000791,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (shoulders),0.084998,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (triceps),0.298701,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
null,0.641952,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
bench-dips,0.741996,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
burpees,0.548953,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging,0.824533,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (butt-kicks),0.842772,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (rotating arms),0.649830,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (sidesteps),0.854534,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (skipping),0.691826,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
lunges,0.154364,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
lunges (complex),0.489021,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
push-ups,0.723786,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
push-ups (complex),0.745412,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
sit-ups,0.772374,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
sit-ups (complex),0.559816,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (hamstrings),0.422298,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (lumbar rotation),0.931498,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (lunging),0.205134,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (shoulders),0.597826,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (triceps),0.782256,6,loso_sbj_3,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
null,0.629031,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
bench-dips,0.375553,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
burpees,0.168107,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging,0.837672,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (butt-kicks),0.247834,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (rotating arms),0.693703,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (sidesteps),0.715537,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (skipping),0.742210,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
lunges,0.485893,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
lunges (complex),0.207982,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
push-ups,0.780122,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
push-ups (complex),0.687481,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
sit-ups,0.704073,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
sit-ups (complex),0.711166,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (hamstrings),0.616002,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (lumbar rotation),0.646190,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (lunging),0.697492,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (shoulders),0.644338,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (triceps),0.927637,6,loso_sbj_4,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
null,0.456369,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
bench-dips,0.000000,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
burpees,0.130728,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging,0.117174,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (butt-kicks),0.236111,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (rotating arms),0.612286,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (sidesteps),0.627262,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (skipping),0.608000,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
lunges,0.300512,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
lunges (complex),0.407670,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
push-ups,0.606978,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
push-ups (complex),0.431562,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
sit-ups,0.282028,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
sit-ups (complex),0.588016,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (hamstrings),0.538785,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (lumbar rotation),0.717647,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (lunging),0.555695,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (shoulders),0.146133,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (triceps),0.931427,6,loso_sbj_5,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
null,0.555563,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
bench-dips,0.735644,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
burpees,0.424435,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging,0.953152,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (butt-kicks),0.878499,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (rotating arms),0.728370,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (sidesteps),0.755228,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (skipping),0.790036,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
lunges,0.785260,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
lunges (complex),0.847188,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
push-ups,0.509766,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
push-ups (complex),0.456707,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
sit-ups,0.503692,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
sit-ups (complex),0.557369,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (hamstrings),0.908785,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (lumbar rotation),0.946336,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (lunging),0.804246,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (shoulders),0.791209,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (triceps),0.885071,6,loso_sbj_6,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
null,0.524969,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
bench-dips,0.435775,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
burpees,0.403230,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging,0.686517,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (butt-kicks),0.378102,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (rotating arms),0.671339,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (sidesteps),0.764589,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (skipping),0.596261,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
lunges,0.376372,6,loso_sbj_7,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
