activity,f1,rate,split,csv_path
burpees,0.358826,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging,0.371308,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (butt-kicks),0.683424,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (rotating arms),0.472289,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (sidesteps),0.647249,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (skipping),0.565657,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
lunges,0.368915,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
lunges (complex),0.619923,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
push-ups,0.516300,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
push-ups (complex),0.787072,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
sit-ups,0.622101,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
sit-ups (complex),0.573913,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (hamstrings),0.811681,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (lumbar rotation),0.957364,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (lunging),0.600697,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (shoulders),0.760083,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (triceps),0.817085,12,loso_sbj_1,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
null,0.099895,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
bench-dips,0.909898,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
burpees,0.621522,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging,0.854348,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (butt-kicks),0.841863,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (rotating arms),0.000000,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (sidesteps),0.910326,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (skipping),0.560197,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
lunges,0.230451,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
lunges (complex),0.774929,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
push-ups,0.000000,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
push-ups (complex),0.622558,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
sit-ups,0.591978,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
sit-ups (complex),0.755579,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (hamstrings),0.659831,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (lumbar rotation),0.991400,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (lunging),0.035521,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (shoulders),0.088747,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (triceps),0.235784,12,loso_sbj_2,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
null,0.619613,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
bench-dips,0.779470,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
burpees,0.569757,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging,0.902532,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (butt-kicks),0.899540,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (rotating arms),0.752517,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (sidesteps),0.900809,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
jogging (skipping),0.750455,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
lunges,0.109935,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
lunges (complex),0.471142,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
push-ups,0.738776,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
push-ups (complex),0.759494,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
sit-ups,0.744020,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
sit-ups (complex),0.565149,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (hamstrings),0.401604,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (lumbar rotation),0.949153,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (lunging),0.168545,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (shoulders),0.554017,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
stretching (triceps),0.752376,12,loso_sbj_3,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
null,0.652578,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
bench-dips,0.405577,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
burpees,0.173620,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging,0.886878,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (butt-kicks),0.266867,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (rotating arms),0.775312,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (sidesteps),0.700375,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
jogging (skipping),0.812680,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
lunges,0.513364,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
lunges (complex),0.209406,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
push-ups,0.787640,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
push-ups (complex),0.711434,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
sit-ups,0.728814,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
sit-ups (complex),0.722705,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (hamstrings),0.619702,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (lumbar rotation),0.651423,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (lunging),0.787433,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (shoulders),0.651661,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
stretching (triceps),0.940865,12,loso_sbj_4,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
null,0.478313,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
bench-dips,0.000000,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
burpees,0.171429,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging,0.158640,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (butt-kicks),0.135231,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (rotating arms),0.669392,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (sidesteps),0.725635,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
jogging (skipping),0.674048,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
lunges,0.340785,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
lunges (complex),0.407560,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
push-ups,0.625706,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
push-ups (complex),0.490960,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
sit-ups,0.196590,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
sit-ups (complex),0.584328,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (hamstrings),0.510269,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (lumbar rotation),0.737018,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (lunging),0.599395,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (shoulders),0.214205,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
stretching (triceps),0.951923,12,loso_sbj_5,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
null,0.560405,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
bench-dips,0.739197,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
burpees,0.473190,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging,0.970667,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (butt-kicks),0.906892,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (rotating arms),0.841727,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (sidesteps),0.828372,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
jogging (skipping),0.860072,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
lunges,0.794364,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
lunges (complex),0.849265,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
push-ups,0.571835,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
push-ups (complex),0.522444,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
sit-ups,0.511777,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
sit-ups (complex),0.560291,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (hamstrings),0.898576,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (lumbar rotation),0.922667,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (lunging),0.790944,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (shoulders),0.793031,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
stretching (triceps),0.902527,12,loso_sbj_6,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
null,0.501784,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
bench-dips,0.434508,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
burpees,0.460459,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging,0.770833,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (butt-kicks),0.449921,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (rotating arms),0.740961,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (sidesteps),0.814521,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
jogging (skipping),0.713240,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
lunges,0.382474,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
lunges (complex),0.727461,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
push-ups,0.449315,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
push-ups (complex),0.607719,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
sit-ups,0.896149,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
sit-ups (complex),0.903888,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (hamstrings),0.795017,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (lumbar rotation),0.892924,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (lunging),0.525079,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (shoulders),0.540583,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
stretching (triceps),0.845130,12,loso_sbj_7,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
null,0.536196,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
bench-dips,0.776179,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
burpees,0.623121,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging,0.934161,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (butt-kicks),0.943069,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (rotating arms),0.875921,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (sidesteps),0.832207,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
jogging (skipping),0.875862,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
lunges,0.534908,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
lunges (complex),0.069484,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
push-ups,0.772977,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
push-ups (complex),0.660550,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
sit-ups,0.825792,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
sit-ups (complex),0.791331,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (hamstrings),0.876321,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (lumbar rotation),0.906826,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (lunging),0.862812,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (shoulders),0.715407,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
stretching (triceps),0.896552,12,loso_sbj_8,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
null,0.232086,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
bench-dips,0.000000,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
burpees,0.171070,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging,0.267096,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (butt-kicks),0.607875,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (rotating arms),0.007614,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (sidesteps),0.394980,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
jogging (skipping),0.354315,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
lunges,0.106564,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
lunges (complex),0.382781,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
push-ups,0.000000,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
push-ups (complex),0.424837,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
sit-ups,0.000000,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
sit-ups (complex),0.045652,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
stretching (hamstrings),0.650636,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
stretching (lumbar rotation),0.875303,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
stretching (lunging),0.000000,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
stretching (shoulders),0.631906,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
stretching (triceps),0.289982,12,loso_sbj_9,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
null,0.422040,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
bench-dips,0.333433,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
burpees,0.166041,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
jogging,0.884187,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
jogging (butt-kicks),0.626573,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
jogging (rotating arms),0.707574,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
jogging (sidesteps),0.629052,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
jogging (skipping),0.838440,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
lunges,0.685336,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
lunges (complex),0.369363,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
push-ups,0.516432,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
push-ups (complex),0.446335,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
sit-ups,0.713549,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
sit-ups (complex),0.509247,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
stretching (hamstrings),0.613128,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
stretching (lumbar rotation),0.580798,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
stretching (lunging),0.720245,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
stretching (shoulders),0.000000,12,loso_sbj_10,logs/deepconvlstm/standard_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
